Packet Number,Ingress Prossessing Duration
0,7257
1,7233
2,7245
3,7335
4,7320
5,7353
6,7107
7,7209
8,7540
9,7729
10,7384
11,14401
12,14417
13,14622
14,14634
15,14717
16,14682
17,22603
18,22734
19,22719
20,23122
21,22973
22,23133
23,29983
24,30122
25,30101
26,30158
27,30179
28,35423
29,35443
30,35729
31,35885
32,38015
33,38115
34,38165
35,38153
36,38198
37,39353
38,39367
39,39576
40,39494
41,44455
42,44469
43,44511
44,44638
45,44674
46,44662
47,43672
48,43776
49,43800
50,43870
51,43901
52,50928
53,51065
54,51000
55,51130
56,49899
57,49924
58,49911
59,49958
60,60820
61,60966
62,60955
63,60988
64,60977
65,72401
66,72575
67,72552
68,72613
69,72682
70,5319
71,8277
72,3353
73,8993
74,6211
75,11292
76,5465
77,5841
78,5618
79,5590
80,5610
81,10166
82,21766
83,26794
84,30394
85,14403
86,18460
87,14826
88,7350
89,11025
90,16016
91,17837
92,17806
93,17950
94,17979
95,18099
96,18069
97,19323
98,24348
99,27432
100,32465
101,34870
102,32109
103,33997
104,33320
105,30452
106,15520
107,11166
108,11190
109,11251
110,11346
111,12164
112,12269
113,12221
114,12367
115,12316
116,6723
117,4025
118,4197
119,4230
120,4220
121,9553
122,15069
123,16074
124,16372
125,16405
126,16429
127,16684
128,16695
129,15574
130,15692
131,15702
132,15772
133,7481
134,3153
135,3173
136,3194
137,5353
138,3200
139,4034
140,4249
141,4280
142,4326
143,4338
144,4729
145,4340
146,7002
147,4078
148,3126
149,3111
150,3104
151,4816
152,3942
153,7838
154,7705
155,7869
156,7798
157,7898
158,7880
159,10126
160,10352
161,10245
162,10517
163,10414
164,4961
165,6560
166,9141
167,13745
168,15884
169,19147
170,19161
171,19173
172,19355
173,19237
174,19390
175,17915
176,17994
177,18035
178,18069
179,18058
180,19663
181,19832
182,19918
183,19942
184,19884
185,19620
186,16495
187,3114
188,3098
189,3093
190,3208
191,4063
192,3264
193,7083
194,7107
195,7157
196,7177
197,7213
198,12169
199,11672
200,5143
201,9940
202,13967
203,17329
204,15565
205,19396
206,7088
207,10980
208,11062
209,11040
210,11151
211,11121
212,12536
213,12644
214,12677
215,12705
216,4202
217,8290
218,7791
219,7762
220,7890
221,7814
222,7878
223,13146
224,15897
225,17968
226,17993
227,18045
228,18093
229,18119
230,13118
231,13138
232,13180
233,13242
234,13280
235,9140
236,3131
237,3133
238,3095
239,3195
240,3186
241,4247
242,6652
243,6852
244,6794
245,7007
246,6929
247,6852
248,7690
249,3652
250,3175
251,5305
252,8349
253,3119
254,4035
255,7967
256,7913
257,8029
258,8080
259,8069
260,11113
261,11191
262,11220
263,11297
264,11324
265,8142
266,5741
267,4050
268,4070
269,4176
270,4163
271,4188
272,4042
273,4016
274,4154
275,4203
276,4217
277,3121
278,3931
279,4048
280,4099
281,4166
282,4190
283,3203
284,3087
285,3219
286,3190
287,3209
288,3216
289,3352
290,6405
291,9656
292,12832
293,15887
294,19071
295,22182
296,25286
297,28422
298,31575
299,34771
300,37889
301,40998
302,44041
303,47082
304,50088
305,53169
306,56226
307,59261
308,62308
309,65389
310,68547
311,71365
312,74447
313,77570
314,81498
315,86591
316,91682
317,96809
318,101944
319,107258
320,113973
321,119146
322,124756
323,130678
324,5394
325,10958
326,16305
327,21450
328,26557
329,31709
330,36849
331,41982
332,47094
333,52440
334,57382
335,62538
336,67811
337,73073
338,78317
339,83579
340,88845
341,93828
342,98620
343,103695
344,108918
345,114182
346,118267
347,121209
348,124377
349,127556
350,130706
351,2850
352,5998
353,9176
354,12288
355,15439
356,18603
357,21747
358,25018
359,28124
360,31497
361,34427
362,40042
363,44935
364,49323
365,52438
366,55567
367,58685
368,61809
369,64878
370,67968
371,71086
372,74189
373,77483
374,80350
375,83418
376,86530
377,89615
378,92624
379,95688
380,98743
381,101801
382,104811
383,107876
384,110888
385,113903
386,117215
387,119858
388,122824
389,125765
390,128708
391,595
392,3822
393,6843
394,9796
395,12856
396,15834
397,18820
398,21822
399,24794
400,28176
401,30973
402,33964
403,36974
404,39998
405,42945
406,45920
407,48865
408,51856
409,54805
410,57748
411,60736
412,63700
413,66861
414,69601
415,72564
416,75572
417,78498
418,81469
419,84410
420,90287
421,93175
422,96138
423,99121
424,102093
425,108837
426,112000
427,115146
428,118170
429,121214
430,124256
431,127281
432,130274
433,4006
434,7096
435,10116
436,13113
437,16148
438,19165
439,22100
440,25110
441,28091
442,31295
443,34090
444,37070
445,40053
446,43050
447,46011
448,48976
449,51939
450,54943
451,57935
452,60901
453,63878
454,66923
455,70145
456,72895
457,75926
458,78959
459,82101
460,85082
461,88131
462,92050
463,96081
464,99091
465,102081
466,105057
467,108042
468,111271
469,114172
470,117213
471,120201
472,123199
473,126147
474,129148
475,1043
476,4001
477,7009
478,9980
479,12976
480,15951
481,18912
482,22102
483,24864
484,27826
485,30803
486,33771
487,36768
488,41054
489,45922
490,50816
491,55796
492,60689
493,65574
494,70440
495,75338
496,80482
497,84498
498,87554
499,90542
500,93546
501,96597
502,99618
503,102616
504,105605
505,108769
506,113578
507,117656
508,120654
509,123602
510,126795
511,129554
512,1457
513,4441
514,7447
515,12280
516,17597
517,22519
518,27392
519,32239
520,37156
521,42021
522,46861
523,51707
524,56781
525,61453
526,66337
527,71525
528,76252
529,81000
530,85750
531,90560
532,95361
533,100093
534,104819
535,109070
536,113447
537,116438
538,119638
539,122656
540,125704
541,128740
542,676
543,3724
544,6774
545,9885
546,13196
547,16343
548,19348
549,22399
550,26719
551,31513
552,36289
553,41020
554,45987
555,49808
556,52801
557,55755
558,58703
559,61681
560,64632
561,67586
562,70524
563,73473
564,76401
565,79322
566,85868
567,89080
568,92050
569,95222
570,98184
571,101209
572,104194
573,107250
574,110222
575,113201
576,116228
577,119216
578,122224
579,125234
580,128197
581,80
582,3055
583,6035
584,9227
585,12233
586,15223
587,18234
588,21192
589,24118
590,27095
591,30015
592,32863
593,39331
594,42291
595,45172
596,48076
597,50977
598,53874
599,56979
600,60434
601,63404
602,66361
603,69356
604,72323
605,75308
606,78299
607,81260
608,84237
609,87230
610,90245
611,93265
612,96324
613,99332
614,102589
615,105404
616,108435
617,111472
618,114428
619,118562
620,121625
621,125744
622,128654
623,494
624,3432
625,6394
626,9366
627,12369
628,15332
629,18527
630,21550
631,24537
632,27530
633,31017
634,34002
635,36984
636,39980
637,43000
638,46008
639,49066
640,52060
641,55072
642,58074
643,61114
644,64141
645,67385
646,70418
647,73395
648,76403
649,79383
650,82367
651,85316
652,88282
653,91225
654,94261
655,97221
656,100213
657,103191
658,106179
659,109145
660,112110
661,115136
662,118092
663,121291
664,124287
665,127296
666,130707
667,2664
668,5718
669,8813
670,11882
671,15006
672,18147
673,21290
674,24371
675,27418
676,30485
677,33639
678,36727
679,39859
680,42958
681,46058
682,49236
683,52267
684,55235
685,58255
686,61221
687,64384
688,67354
689,70335
690,73302
691,76286
692,79253
693,82213
694,85208
695,88185
696,91188
697,94135
698,98246
699,101312
700,104287
701,107239
702,110224
703,113359
704,116336
705,119282
706,122247
707,125209
708,128152
709,112
710,3291
711,6275
712,9199
713,12167
714,15058
715,17920
716,20380
717,23274
718,26270
719,29251
720,32207
721,35159
722,38048
723,40964
724,43885
725,46818
726,49733
727,52612
728,55537
729,58453
730,61428
731,64293
732,67303
733,70121
734,72900
735,75734
736,78557
737,81358
738,84110
739,86969
740,89734
741,92624
742,95391
743,98170
744,100972
745,103840
746,106764
747,109560
748,112412
749,115189
750,118001
751,120902
752,124783
753,127717
754,130584
755,2282
756,5349
757,8207
758,11001
759,13777
760,16586
761,19443
762,22296
763,25194
764,28057
765,30913
766,33717
767,36516
768,39459
769,42304
770,45144
771,48026
772,50866
773,53675
774,56722
775,59519
776,62360
777,65337
778,68142
779,70913
780,73941
781,76770
782,79563
783,82344
784,85150
785,88447
786,91315
787,94163
788,97041
789,99829
790,102785
791,105608
792,112102
793,114983
794,117892
795,121106
796,123931
797,126736
798,129520
799,1272
800,4091
801,6870
802,9686
803,12494
804,15356
805,18141
806,20914
807,24076
808,26999
809,29822
810,32916
811,36760
812,36799
813,36810
814,36903
815,36859
816,36883
817,40876
818,43995
819,46741
820,49532
821,52338
822,55138
823,57934
824,60737
825,63547
826,66328
827,69137
828,71918
829,74713
830,77489
831,80278
832,83080
833,86901
834,89756
835,92553
836,95363
837,98139
838,100951
839,103736
840,106736
841,109525
842,112318
843,115131
844,117932
845,120758
846,123522
847,126325
848,129088
849,785
850,3560
851,6331
852,9113
853,11924
854,18215
855,21096
856,23890
857,26678
858,29437
859,32231
860,35144
861,37996
862,40780
863,43555
864,46382
865,49433
866,52251
867,55055
868,57865
869,60642
870,63440
871,66229
872,69000
873,71800
874,74559
875,77355
876,80140
877,82944
878,85755
879,88587
880,91347
881,94152
882,96965
883,99739
884,102501
885,105275
886,108058
887,110843
888,113644
889,116464
890,119254
891,122275
892,125049
893,127817
894,130639
895,2354
896,5115
897,7908
898,10690
899,13479
900,16265
901,19045
902,21851
903,24654
904,27443
905,30264
906,33088
907,35902
908,38673
909,41452
910,44239
911,47046
912,49890
913,52705
914,55490
915,58288
916,61093
917,64121
918,66924
919,69711
920,72534
921,75338
922,78142
923,80932
924,83707
925,86538
926,89330
927,92113
928,94868
929,97682
930,100471
931,103266
932,106071
933,108858
934,111643
935,114417
936,117224
937,120007
938,122804
939,125593
940,128387
941,118
942,2937
943,5984
944,8772
945,11566
946,14353
947,17136
948,19926
949,22723
950,25514
951,30078
952,33780
953,36635
954,39573
955,42525
956,46539
957,51185
958,54337
959,57148
960,59933
961,62742
962,65578
963,68550
964,72049
965,74856
966,77658
967,80663
968,83497
969,86301
970,89107
971,91918
972,94752
973,97551
974,100331
975,103112
976,105919
977,108713
978,111498
979,114291
980,117864
981,120678
982,123528
983,126403
984,129194
985,1084
986,3888
987,6694
988,9517
989,12347
990,15134
991,18273
992,21103
993,23884
994,26693
995,29534
996,32488
997,35329
998,38121
999,40934
1000,43720
1001,46527
1002,49347
1003,52159
1004,54934
1005,57746
1006,60554
1007,63360
1008,66225
1009,69100
1010,72033
1011,74857
1012,77673
1013,80504
1014,83354
1015,86414
1016,89217
1017,92021
1018,94827
1019,97664
1020,100487
1021,103288
1022,106074
1023,108860
1024,111711
1025,114515
1026,117325
1027,120150
1028,122943
1029,125770
1030,128537
1031,302
1032,3123
1033,5932
1034,8719
1035,11512
1036,14339
1037,17143
1038,19963
1039,22992
1040,25844
1041,28608
1042,31423
1043,34208
1044,37016
1045,39785
1046,42584
1047,45383
1048,48185
1049,50947
1050,53784
1051,56559
1052,59353
1053,62232
1054,65050
1055,67991
1056,70788
1057,73589
1058,76412
1059,79241
